Date,Segment 1,Segment 2,Segment 3
8/1/2007,0.054,0.062,0.0666
9/1/2007,0.0528,0.0612,0.0655
10/1/2007,0.0517,0.0602,0.0638
11/1/2007,0.0492,0.0602,0.0647
12/1/2007,0.0493,0.0613,0.0669
1/1/2008,0.0439,0.0601,0.0672
2/1/2008,0.0411,0.0618,0.0705
3/1/2008,0.0428,0.0638,0.0699
4/1/2008,0.046,0.0628,0.0696
5/1/2008,0.0467,0.0636,0.0677
6/1/2008,0.0499,0.0664,0.0695
7/1/2008,0.0516,0.0688,0.0704
8/1/2008,0.0521,0.0687,0.0691
9/1/2008,0.0586,0.0735,0.0688
10/1/2008,0.0735,0.0861,0.0726
11/1/2008,0.0711,0.0823,0.0742
12/1/2008,0.0672,0.0712,0.0636
1/1/2009,0.052,0.068,0.0631
2/1/2009,0.0524,0.0707,0.0708
3/1/2009,0.057,0.0753,0.0785
4/1/2009,0.0512,0.0715,0.0692
5/1/2009,0.0427,0.07,0.0677
6/1/2009,0.0389,0.0659,0.0655
7/1/2009,0.0339,0.0628,0.0647
8/1/2009,0.0308,0.0594,0.0621
9/1/2009,0.0273,0.0563,0.0607
10/1/2009,0.026,0.0558,0.0607
11/1/2009,0.0235,0.0557,0.0629
12/1/2009,0.0235,0.0565,0.0645
1/1/2010,0.0231,0.0564,0.0647
2/1/2010,0.0229,0.0577,0.0663
3/1/2010,0.0229,0.0565,0.0658
4/1/2010,0.023,0.056,0.0647
5/1/2010,0.0234,0.0542,0.0626
6/1/2010,0.0235,0.0535,0.0629
7/1/2010,0.0206,0.051,0.0611
8/1/2010,0.0181,0.0481,0.0588
9/1/2010,0.0174,0.0475,0.0603
10/1/2010,0.0156,0.0473,0.0622
11/1/2010,0.0165,0.0491,0.0652
12/1/2010,0.0198,0.0523,0.0652
1/1/2011,0.0193,0.0525,0.0642
2/1/2011,0.0202,0.0534,0.0654
3/1/2011,0.0191,0.0523,0.0646
4/1/2011,0.0193,0.0523,0.0644
5/1/2011,0.0172,0.05,0.0621
6/1/2011,0.017,0.0499,0.0633
7/1/2011,0.0172,0.0497,0.0628
8/1/2011,0.0185,0.0462,0.0602
9/1/2011,0.0198,0.0449,0.058
10/1/2011,0.0209,0.0456,0.055
11/1/2011,0.0199,0.0447,0.0526
12/1/2011,0.0207,0.0445,0.0524
1/1/2012,0.0184,0.0436,0.0519
2/1/2012,0.0156,0.0427,0.0508
3/1/2012,0.0157,0.0436,0.0518
4/1/2012,0.0154,0.043,0.0514
5/1/2012,0.0159,0.0412,0.0504
6/1/2012,0.016,0.0397,0.0493
7/1/2012,0.0122,0.0366,0.045
8/1/2012,0.0113,0.0371,0.0452
9/1/2012,0.0102,0.0371,0.0467
10/1/2012,0.0096,0.0357,0.0458
11/1/2012,0.0097,0.035,0.046
12/1/2012,0.01,0.0357,0.0477
1/1/2013,0.01,0.0373,0.0489
2/1/2013,0.0099,0.0382,0.0502
3/1/2013,0.0097,0.0382,0.0511
4/1/2013,0.0093,0.0361,0.0488
5/1/2013,0.0097,0.0376,0.0501
6/1/2013,0.0124,0.0425,0.0543
7/1/2013,0.0134,0.0445,0.0544
8/1/2013,0.0136,0.046,0.0558
9/1/2013,0.014,0.0466,0.0562
10/1/2013,0.0124,0.0447,0.0552
11/1/2013,0.0119,0.0453,0.0566
12/1/2013,0.0125,0.0457,0.056
1/1/2014,0.0124,0.0442,0.054
2/1/2014,0.0117,0.0429,0.0536
3/1/2014,0.0123,0.0423,0.0531
4/1/2014,0.0124,0.0413,0.0515
5/1/2014,0.0117,0.0398,0.0501
6/1/2014,0.0123,0.0401,0.0509
7/1/2014,0.0126,0.0394,0.0502
8/1/2014,0.0124,0.0386,0.0496
9/1/2014,0.014,0.0398,0.0504
10/1/2014,0.0129,0.0381,0.0488
11/1/2014,0.014,0.0388,0.0496
12/1/2014,0.0148,0.0377,0.0479
1/1/2015,0.0133,0.0346,0.044
2/1/2015,0.0135,0.0352,0.0447
3/1/2015,0.0138,0.0358,0.045
4/1/2015,0.0127,0.0352,0.0447
5/1/2015,0.0138,0.0388,0.0498
6/1/2015,0.0159,0.0413,0.052
7/1/2015,0.0163,0.0414,0.0513
8/1/2015,0.0168,0.0405,0.0498
9/1/2015,0.0169,0.0411,0.0507
10/1/2015,0.0161,0.0402,0.0503
11/1/2015,0.0176,0.0415,0.0513
12/1/2015,0.0182,0.0412,0.0501
1/1/2016,0.0178,0.0408,0.0502
2/1/2016,0.0171,0.0398,0.0503
3/1/2016,0.0168,0.0387,0.0484
4/1/2016,0.0147,0.0365,0.0462
5/1/2016,0.015,0.036,0.0462
6/1/2016,0.0144,0.0346,0.0448
7/1/2016,0.0136,0.0326,0.0416
8/1/2016,0.0139,0.0327,0.0418
9/1/2016,0.0147,0.0334,0.043
10/1/2016,0.0157,0.0345,0.0439
11/1/2016,0.0179,0.038,0.0471
12/1/2016,0.0204,0.0403,0.0482
1/1/2017,0.02,0.0391,0.0466
2/1/2017,0.0196,0.0391,0.0469
3/1/2017,0.0206,0.0395,0.0475
4/1/2017,0.0196,0.0378,0.0466
5/1/2017,0.0196,0.0377,0.0462
6/1/2017,0.0196,0.036,0.0439
7/1/2017,0.0197,0.0366,0.0437
8/1/2017,0.0193,0.0357,0.0436
9/1/2017,0.0196,0.0358,0.0435
10/1/2017,0.0205,0.0361,0.0427
11/1/2017,0.022,0.0357,0.0424
12/1/2017,0.0233,0.0355,0.0411
1/1/2018,0.0248,0.0365,0.0415
2/1/2018,0.0272,0.0394,0.0433
3/1/2018,0.0291,0.0399,0.0443
4/1/2018,0.0299,0.0404,0.0443
