Age,qx,,,2020 Table for Distributions Subject to § 417(e)(3)
0,0.003067,,,
1,0.000186,,,
2,0.000125,,,
3,0.000100,,,
4,0.000077,,,
5,0.000069,,,
6,0.000064,,,
7,0.000058,,,
8,0.000051,,,
9,0.000045,,,
10,0.000041,,,
11,0.000043,,,
12,0.000057,,,
13,0.000070,,,
14,0.000083,,,
15,0.000097,,,
16,0.000110,,,
17,0.000123,,,
18,0.000137,,,
19,0.000151,,,
20,0.000163,,,
21,0.000180,,,
22,0.000196,,,
23,0.000209,,,
24,0.000219,,,
25,0.000216,,,
26,0.000216,,,
27,0.000219,,,
28,0.000226,,,
29,0.000237,,,
30,0.000250,,,
31,0.000266,,,
32,0.000284,,,
33,0.000303,,,
34,0.000321,,,
35,0.000338,,,
36,0.000353,,,
37,0.000370,,,
38,0.000388,,,
39,0.000409,,,
40,0.000433,,,
41,0.000459,,,
42,0.000489,,,
43,0.000528,,,
44,0.000574,,,
45,0.000628,,,
46,0.000694,,,
47,0.000772,,,
48,0.000860,,,
49,0.000963,,,
50,0.001082,,,
51,0.001203,,,
52,0.001359,,,
53,0.001538,,,
54,0.001748,,,
55,0.002067,,,
56,0.002482,,,
57,0.002853,,,
58,0.003265,,,
59,0.003722,,,
60,0.004252,,,
61,0.004881,,,
62,0.005575,,,
63,0.006358,,,
64,0.007106,,,
65,0.007923,,,
66,0.008835,,,
67,0.009739,,,
68,0.010718,,,
69,0.011801,,,
70,0.012995,,,
71,0.014337,,,
72,0.015854,,,
73,0.017570,,,
74,0.019507,,,
75,0.021709,,,
76,0.024201,,,
77,0.027052,,,
78,0.030297,,,
79,0.034019,,,
80,0.038276,,,
81,0.042888,,,
82,0.048150,,,
83,0.054155,,,
84,0.061006,,,
85,0.068756,,,
86,0.077548,,,
87,0.087455,,,
88,0.098527,,,
89,0.110833,,,
90,0.124467,,,
91,0.139075,,,
92,0.154319,,,
93,0.169892,,,
94,0.185771,,,
95,0.201814,,,
96,0.219762,,,
97,0.238382,,,
98,0.257731,,,
99,0.277682,,,
100,0.298176,,,
101,0.318923,,,
102,0.339597,,,
103,0.360111,,,
104,0.380241,,,
105,0.399509,,,
106,0.418310,,,
107,0.436046,,,
108,0.452706,,,
109,0.468526,,,
110,0.483245,,,
111,0.492966,,,
112,0.499433,,,
113,0.501985,,,
114,0.500852,,,
115,0.500000,,,
116,0.500000,,,
117,0.500000,,,
118,0.500000,,,
119,0.500000,,,
120,1.000000,,,
